,Designation,Company_Name,Work_location
0,Social Media & Marketing Manager,Gopuff,"Miami, FL"
1,Meeting Coordinator,Woven Health Collective,United States
2,Recruiter - Human Resources,Channel Factory,United States
3,Executive Assistant / Office Manager – Financial District! $120k + bonus,"J.R. Berry Search Group, Inc.",New York City Metropolitan Area
4,"Product Owner, Digital Restaurant Experience",Chipotle Mexican Grill,"Newport Beach, CA"
5,Legal Administrator,RPC Company,Dallas-Fort Worth Metroplex
6,Customer Service Agent,Bulletproof 360,United States
7,Social Video Lead,Google,"New York, NY"
8,"Service Desk Analyst-Remote, US",Slipstream IT,United States
9,Senior Manager/ Director Talent Acquisition,Zone & Co,United States
10,"Outreach Operations Specialist, YouTube",Google,Los Angeles Metropolitan Area
11,Learning Design Specialist,Google,"Atlanta, GA"
12,Vice President of Business Development,CardioOne,United States
13,"Analyst, Growth Products & Partnerships",Visa,"San Francisco, CA"
14,"Investment Banking Analyst, Aerospace & Defense",Jefferies,New York City Metropolitan Area
15,Direct Hire Recruiter,Procom,United States
16,Customer Support Representative (Payments),DaySmart,United States
17,New Business Account Executive,Google,"New York, NY"
18,Sales Operations Analyst,Roku,"San Jose, CA"
19,"Program Manager I, Regulatory Affairs",Google,"Washington, DC"
20,Corporate Recruiter,Vorto,United States
21,"Visual Designer, Chrome Desktop",Google,"San Francisco, CA"
22,Legal Intake Manager,"Martine Law, PLLC",United States
23,"User Experience Designer, Google Ads, Early Career",Google,"Seattle, WA"
24,Corporate Paralegal,Google,"San Francisco, CA"
25,Sales Coordinator,Tito's Handmade Vodka,"Chicago, IL"
26,Marketing Communications Manager,Eating Recovery Center,"Denver, CO"
27,Data Entry Clerk - Typist / Full-time (Remote),MultiTech Trades Corp.,"Savannah, GA"
28,Policy Communications Manager,Google,San Francisco Bay Area
29,Information Security Analyst,"Link Solutions, Inc.","Orlando, FL"
30,"Training Program Manager, YouTube",Google,"Los Angeles County, CA"
31,Area Sales Manager,Tito's Handmade Vodka,"Riverside County, CA"
32,"Marketing Data Analyst, Global Partnerships",Google,"Los Angeles County, CA"
33,Director of Marketing and Communications,"Little Sprouts, LLC","Lawrence, MA"
34,"Head of Business Operations, YouTube, Partnerships",Google,Los Angeles Metropolitan Area
35,Product Operations Lead,Vannevar Labs,United States
36,Executive Assistant,Govig & Associates,"Commerce City, CO"
